         341544 function calls (334336 primitive calls) in 17.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      959    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1922(p_empty)
     1015    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:173(append)
       27    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       60    0.000    0.000    0.014    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:702(_parse_function_type)
  955/414    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      120    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:207(__init__)
       54    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      934    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      188    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
       47    0.000    0.000    0.016    0.000 C:\Users\zas47\anaconda3\lib\re.py:288(_compile)
      674    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:112(__init__)
      734    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:1014(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:3127(get_pfunctions)
      865    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:287(tell)
      150    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1301(p_parameter_list)
       28    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      286    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      212    0.000    0.000    0.000    0.000 D:\GitHub Repos\salespro\run copy.py:154(<genexpr>)
      236    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:85(opengroup)
      223    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:265(_compile_charset)
      134    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1321(p_parameter_declaration_1)
     1093    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:161(__len__)
      212    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:588(_get_type_pointer)
       76    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:437(<listcomp>)
       91    0.000    0.000    7.812    0.086 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:425(__next__)
       41    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:242(build_backend_type)
      209    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:267(__exit__)
       75    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1227(p_direct_xxx_declarator_6)
        1    0.000    0.000    0.008    0.008 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:30(__init__)
      791    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      901    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     42/3    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\string.py:169(_vformat)
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      180    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:433(_uniq)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {method 'integrated_call' of 'grpc._cython.cygrpc.Channel' objects}
     29/3    0.000    0.000    0.106    0.035 <frozen importlib._bootstrap>:1022(_find_and_load)
      991    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      840    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      156    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:927(p_specifier_qualifier_list_2)
      338    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1382(__init__)
        1    0.000    0.000    0.074    0.074 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:393(_internal_parse)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\json\encoder.py:204(iterencode)
