         61553 function calls (60774 primitive calls) in 58.221 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    9.276    1.160 C:\Users\zas47\anaconda3\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      228    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\_collections_abc.py:909(__iter__)
      140    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\email\_policybase.py:293(header_source_parse)
        8    0.000    0.000    8.680    1.085 C:\Users\zas47\anaconda3\lib\http\client.py:311(begin)
       25    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
       56    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
        8    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\utils.py:194(get_netrc_auth)
       60    0.000    0.000    0.057    0.001 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:767(_handle_chunk)
       12    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\json\decoder.py:343(raw_decode)
       56    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\sessions.py:61(merge_setting)
       54    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\queue.py:122(put)
      209    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        5    0.000    0.000    0.247    0.049 C:\Users\zas47\anaconda3\lib\ssl.py:1014(_create)
       64    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\email\message.py:462(get)
       50    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\typing.py:1016(__init__)
      128    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\_collections_abc.py:821(get)
        5    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\ssl_.py:250(create_urllib3_context)
        8    0.000    0.000    0.006    0.001 C:\Users\zas47\anaconda3\lib\site-packages\requests\sessions.py:457(prepare_request)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\inspect.py:2279(_signature_from_function)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:206(_read_headers)
       29    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\http\cookiejar.py:1266(__init__)
        8    0.000    0.000    9.286    1.161 C:\Users\zas47\anaconda3\lib\site-packages\requests\sessions.py:500(request)
       53    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\structures.py:40(__init__)
      120    0.000    0.000    0.057    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:623(_safe_read)
     16/8    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\inspect.py:2374(_signature_from_callable)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\poolmanager.py:79(_default_key_normalizer)
       56    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\utils.py:335(to_key_val_list)
       47    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:90(RLock)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\socket.py:302(makefile)
     1792    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:1284(_send_request)
      172    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\_collections.py:156(__getitem__)
      405    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:935(_is_dunder)
       29    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:274(_normalize_host)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\tenacity\__init__.py:527(wrap)
        7    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\logging\__init__.py:283(__init__)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:1082(putrequest)
        5    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       14    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       48    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\queue.py:154(get)
       32    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\email\message.py:497(get_all)
       22    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:236(__init__)
      276    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      603    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       10    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\copy.py:66(copy)
     1024    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      164    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\email\feedparser.py:78(readline)
        5    0.000    0.000    0.299    0.060 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\connection.py:37(create_connection)
       16    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\ssl.py:1226(sendall)
      404    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.040    0.010 C:\Users\zas47\anaconda3\lib\site-packages\pyaudio\__init__.py:297(__init__)
       63    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:305(_idna_encode)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:201(__init__)
        8    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:633(from_httplib)
        8    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:224(parse_headers)
       21    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ntpath.py:315(expanduser)
       14    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       47    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ntpath.py:150(splitdrive)
       17    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ntpath.py:206(split)
       50    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\models.py:484(prepare_headers)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\chat_models\openai.py:368(_create_chat_result)
      534    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     64/4    0.000    0.000    0.002    0.001 C:\Users\zas47\anaconda3\lib\site-packages\openai\util.py:101(convert_to_openai_object)
        5    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\connectionpool.py:169(__init__)
       44    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\openai\util.py:77(fmt)
      149    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\os.py:747(encodekey)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\models.py:659(__init__)
        5    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\sessions.py:389(__init__)
      261    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\abc.py:117(__instancecheck__)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\email\feedparser.py:139(__init__)
