         364125 function calls (356761 primitive calls) in 13.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'integrated_call' of 'grpc._cython.cygrpc.Channel' objects}
       48    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:663(get_rules)
       68    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      338    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1382(__init__)
     2047    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      167    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1155(p_xxx_declarator_2)
     42/3    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\string.py:169(_vformat)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\contextlib.py:102(__init__)
      158    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:264(__init__)
      156    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:927(p_specifier_qualifier_list_2)
        1    0.000    0.000    0.005    0.005 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1978(read_table)
       32    0.000    0.000    0.017    0.001 C:\Users\zas47\anaconda3\lib\sre_compile.py:783(compile)
      255    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:249(_type_modify_decl)
       32    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:560(_compile_info)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       83    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:533(_statetoken)
     29/3    0.000    0.000    0.103    0.034 {built-in method builtins.exec}
      995    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       91    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1020(p_struct_declaration_1)
        1    0.000    0.000    0.074    0.074 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:393(_internal_parse)
        2    0.000    0.000    0.003    0.001 C:\Users\zas47\anaconda3\lib\site-packages\pydub\utils.py:144(which)
      138    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:356(_escape)
      855    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     2002    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      259    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:400(__init__)
      173    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:821(p_declaration_specifiers_5)
       62    0.000    0.000    0.454    0.007 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:789(read_chunked)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      197    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:264(__enter__)
  167/135    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:74(__eq__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       27    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
